DASKIO/VEROIA DECISION TREES 50HZ,Precision,Recall,F1,#Input
Pistolaki+mpriki+Tostiera,0.554016996,0.553358103,0.553621739,253
DVD-TV+Laptop+Tostiera,0.757801667,0.757246,0.757468333,600
DVD-TV+Tostiera,0.348716781,0.517123288,0.41609589,292
DVD-TV+Pistolaki+Tostiera,0.669206015,0.669206015,0.669206015,266
DVD-TV+Laptop+Pistolaki,0.750708878,0.683429313,0.710340369,597
DVD-TV+Mati,0.835208178,0.996282528,0.899628253,269
DVD-TV+Laptop+Mati,0.6772545,0.6772545,0.6772545,600
Laptop+mpriki+Tostiera,0.109524643,0.098808214,0.103096071,280
DVD-TV+Laptop,0.664477333,0.996666667,0.797333333,300
DVD-TV+Psigio,0.3333,0.5,0.4,300
DVD-TV+Pistolaki+Mati,0.384611741,0.33737004,0.35627166,247
Laptop+Pistolaki+Tostiera,0.552155507,0.552155507,0.552155507,227
DVD-TV+Pistolaki,0.331079599,0.453177258,0.37993311,299
